Duration (in seconds),S_0_1,S_00_1,S_1_1,S_2_1,S_3_1,S_4_1,IC,MC_1,MC_2,MC_3,MC_4,RK1_1,RK2_1,RK3_1,RK4_1,MC Prime_1,MC Prime_1,MC Prime_1,PK1_1,PK1_2,PK1_3,PK1_4,PK1_5,PK1_6,PK1_7,PK1_8,PK1_9,PK1_10,PK1_11,PK1_12,PK1_13,PK1_14,PK1_15,PK2_1,PK2_2,PK2_3,PK2_4,PK2_5,PK2_6,PK2_7,PK2_8,PK2_9,PK2_10,PK2_11,PK2_12,PK2_13,PK2_14,PK2_15,PK1_1,PK1_2,PK1_3,PK1_4,PK1_5,PK1_6,PK1_7,PK1_8,PK1_9,PK1_10,PK1_11,PK1_12,PK1_13,PK1_14,PK1_15,PK2_1,PK2_2,PK2_3,PK2_4,PK2_5,PK2_6,PK2_7,PK2_8,PK2_9,PK2_10,PK2_11,PK2_12,PK2_13,PK2_14,PK2_15,PK_Total,A1_1,A2,IC1_1,IC2,IC3_1,IC4_1,Confidence_1,Risk_1,S_5_1,D1,D2,D2_3_TEXT,D3,D4,D4_2_TEXT,D5,D6,SC0,Random ID,group
1579,50,50,55,60,50,40,2,1,2,1,2,50,60,50,100,70,35,45,1,3,5,5,4,3,4,5,5,1,2,4,5,4,5,1,2,4,4,4,4,5,4,5,3,3,5,5,4,4,1,3.5,6,6,4.75,3.5,4.75,6,6,1,2.25,4.75,6,4.75,6,1,2.25,4.75,4.75,4.75,4.75,6,4.75,6,3.5,3.5,6,6,4.75,4.75,151.25,1,2,2,2,2,2,40,4,55,21,1,,1,1,,1,3,130,18934,A
1050,50,80,85,85,75,75,2,1,1,2,2,70,85,90,95,75,60,70,1,4,5,5,5,5,4,5,5,1,5,5,5,5,5,1,4,3,4,5,5,5,5,5,3,5,5,5,4,5,1,4.75,6,6,6,6,4.75,6,6,1,6,6,6,6,6,1,4.75,3.5,4.75,6,6,6,6,6,3.5,6,6,6,4.75,6,153.75,2,2,3,1,3,3,50,2,50,21,1,,1,1,,1,3,148,94556,A
177,50,50,55,60,55,50,2,1,2,1,2,50,50,50,50,50,50,50,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,105,1,2,1,2,1,1,,4,50,34,1,,1,1,,6,3,104,10379,A
380,50,50,75,75,45,40,2,1,2,1,2,25,75,30,80,80,50,75,2,4,4,4,3,4,4,4,2,2,2,4,4,3,4,4,2,4,3,2,4,3,3,4,2,2,4,3,3,2,2.25,4.75,4.75,4.75,3.5,4.75,4.75,4.75,2.25,2.25,2.25,4.75,4.75,3.5,4.75,4.75,2.25,4.75,3.5,2.25,4.75,3.5,3.5,4.75,2.25,2.25,4.75,3.5,3.5,2.25,123.75,2,1,2,2,2,2,60,4,60,21,2,,1,1,,1,3,114,72963,A
809,50,50,70,80,65,60,3,1,2,1,2,85,50,95,50,90,80,90,3,4,4,4,5,4,2,4,3,2,2,4,2,4,4,3,2,4,4,3,4,5,4,4,2,4,4,4,4,4,3.5,4.75,4.75,4.75,6,4.75,2.25,4.75,3.5,2.25,2.25,4.75,2.25,4.75,4.75,3.5,2.25,4.75,4.75,3.5,4.75,6,4.75,4.75,2.25,4.75,4.75,4.75,4.75,4.75,130,3,1,3,1,2,3,70,3,60,22,1,,1,1,,1,3,126,13733,A
433,50,80,80,80,70,60,3,1,2,1,2,55,15,80,25,80,60,70,2,5,4,4,3,5,2,4,5,2,4,4,3,2,4,2,1,5,3,2,4,4,4,3,2,3,4,4,4,3,2.25,6,4.75,4.75,3.5,6,2.25,4.75,6,2.25,4.75,4.75,3.5,2.25,4.75,2.25,1,6,3.5,2.25,4.75,4.75,4.75,3.5,2.25,3.5,4.75,4.75,4.75,3.5,131.25,2,2,2,2,3,3,70,4,55,22,1,,1,1,,1,3,121,97823,A
342,70,75,80,80,55,50,3,1,2,1,2,65,70,70,70,85,60,70,2,4,4,4,5,5,4,4,4,1,2,4,3,4,4,1,1,5,3,4,5,5,4,4,2,2,4,4,4,5,2.25,4.75,4.75,4.75,6,6,4.75,4.75,4.75,1,2.25,4.75,3.5,4.75,4.75,1,1,6,3.5,4.75,6,6,4.75,4.75,2.25,2.25,4.75,4.75,4.75,6,151.25,3,2,3,2,4,2,50,2,70,21,2,,1,1,,1,3,128,22423,A
1615,50,50,60,70,65,60,3,1,2,1,2,90,85,75,80,90,65,85,3,4,4,4,3,4,3,4,3,2,3,4,3,3,4,2,2,3,3,3,4,4,4,3,3,3,4,4,4,3,3.5,4.75,4.75,4.75,3.5,4.75,3.5,4.75,3.5,2.25,3.5,4.75,3.5,3.5,4.75,2.25,2.25,3.5,3.5,3.5,4.75,4.75,4.75,3.5,3.5,3.5,4.75,4.75,4.75,3.5,125,2,2,2,1,3,2,65,3,65,21,1,,1,1,,1,3,118,54983,A
528,50,80,90,85,35,30,3,1,2,1,2,40,80,50,80,90,50,35,2,5,4,3,3,5,4,3,4,2,2,3,2,3,3,4,2,3,3,4,5,4,3,3,1,2,4,3,3,4,2.25,6,4.75,3.5,3.5,6,4.75,3.5,4.75,2.25,2.25,3.5,2.25,3.5,3.5,4.75,2.25,3.5,3.5,4.75,6,4.75,3.5,3.5,1,2.25,4.75,3.5,3.5,4.75,127.5,2,2,2,2,2,2,70,4,70,22,1,,1,1,,8,1,112,53266,A
538,10,65,90,90,10,5,2,1,2,1,2,30,80,70,95,40,40,60,2,2,4,4,4,3,3,4,4,3,2,3,3,4,4,3,4,3,3,4,2,3,4,3,4,2,4,2,4,4,2.25,2.25,4.75,4.75,4.75,3.5,3.5,4.75,4.75,3.5,2.25,3.5,3.5,4.75,4.75,3.5,4.75,3.5,3.5,4.75,2.25,3.5,4.75,3.5,4.75,2.25,4.75,2.25,4.75,4.75,117.5,2,1,3,1,3,2,30,2,45,21,2,,1,1,,1,2,116,68542,A
467,25,30,30,35,30,25,2,1,2,1,2,30,80,65,80,75,20,40,4,4,5,4,4,2,3,4,4,4,2,4,4,4,4,4,3,4,4,4,2,4,3,2,4,2,4,3,4,4,4.75,4.75,6,4.75,4.75,2.25,3.5,4.75,4.75,4.75,2.25,4.75,4.75,4.75,4.75,4.75,3.5,4.75,4.75,4.75,2.25,4.75,3.5,2.25,4.75,2.25,4.75,3.5,4.75,4.75,118.75,3,2,3,1,5,3,35,2,25,21,1,,1,1,,1,1,127,69494,A
774,50,75,75,75,50,40,2,1,2,1,2,85,90,50,95,80,25,50,2,4,4,3,4,4,3,4,4,2,2,3,4,4,4,3,2,4,4,4,4,4,4,4,4,2,4,3,4,4,2.25,4.75,4.75,3.5,4.75,4.75,3.5,4.75,4.75,2.25,2.25,3.5,4.75,4.75,4.75,3.5,2.25,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,2.25,4.75,3.5,4.75,4.75,131.25,2,2,2,1,2,2,45,2,40,22,2,,1,1,,1,3,122,94567,A
697,45,60,55,55,35,35,2,1,2,1,2,55,80,65,70,60,45,55,2,1,5,4,4,3,4,5,5,3,2,3,2,5,4,3,4,4,4,5,3,4,5,4,3,2,5,4,4,5,2.25,1,6,4.75,4.75,3.5,4.75,6,6,3.5,2.25,3.5,2.25,6,4.75,3.5,4.75,4.75,4.75,6,3.5,4.75,6,4.75,3.5,2.25,6,4.75,4.75,6,133.75,2,2,2,2,3,2,45,1,55,30,2,,1,1,,1,2,127,58161,A
1030,50,95,85,90,60,50,2,1,2,1,2,75,20,95,40,65,75,85,2,5,4,4,3,4,3,4,4,2,4,5,2,2,4,4,1,4,3,5,5,4,4,4,2,4,4,4,3,2,2.25,6,4.75,4.75,3.5,4.75,3.5,4.75,4.75,2.25,4.75,6,2.25,2.25,4.75,4.75,1,4.75,3.5,6,6,4.75,4.75,4.75,2.25,4.75,4.75,4.75,3.5,2.25,128.75,3,2,3,2,4,2,70,4,60,22,1,,1,1,,1,3,127,66736,A
819,50,70,80,85,40,5,2,1,2,1,2,60,100,70,90,95,35,25,3,4,4,4,5,4,3,5,3,2,1,4,4,5,4,3,2,3,3,4,4,5,3,5,3,1,4,4,3,4,3.5,4.75,4.75,4.75,6,4.75,3.5,6,3.5,2.25,1,4.75,4.75,6,4.75,3.5,2.25,3.5,3.5,4.75,4.75,6,3.5,6,3.5,1,4.75,4.75,3.5,4.75,140,3,2,3,1,3,4,80,3,15,22,1,,1,1,,1,3,128,68764,A
673,50,55,65,70,60,50,2,1,2,1,2,65,45,85,50,85,50,40,2,4,4,5,4,4,3,4,1,2,2,4,4,4,5,2,2,4,4,2,4,3,2,4,3,2,2,2,5,4,2.25,4.75,4.75,6,4.75,4.75,3.5,4.75,1,2.25,2.25,4.75,4.75,4.75,6,2.25,2.25,4.75,4.75,2.25,4.75,3.5,2.25,4.75,3.5,2.25,2.25,2.25,6,4.75,126.25,2,2,2,1,4,2,75,2,40,22,2,,1,1,,1,3,116,36403,A
634,50,55,70,70,60,45,2,1,2,1,2,85,20,60,10,80,55,75,2,5,5,5,4,5,2,5,5,1,2,4,3,4,5,2,2,4,2,5,5,5,5,4,2,2,5,4,5,4,2.25,6,6,6,4.75,6,2.25,6,6,1,2.25,4.75,3.5,4.75,6,2.25,2.25,4.75,2.25,6,6,6,6,4.75,2.25,2.25,6,4.75,6,4.75,156.25,3,2,2,2,4,2,70,2,65,21,2,,1,1,,1,1,131,82758,A
524,50,50,75,90,25,25,2,1,2,1,2,100,25,85,0,65,25,25,2,4,4,4,4,4,2,4,4,1,2,3,3,5,4,1,1,4,3,5,4,4,3,4,3,1,5,4,3,4,2.25,4.75,4.75,4.75,4.75,4.75,2.25,4.75,4.75,1,2.25,3.5,3.5,6,4.75,1,1,4.75,3.5,6,4.75,4.75,3.5,4.75,3.5,1,6,4.75,3.5,4.75,141.25,3,2,2,1,3,1,40,3,35,22,1,,1,1,,1,3,117,67858,A
436,10,15,80,85,40,20,2,1,2,1,2,75,15,85,10,90,50,50,2,4,5,5,3,3,4,4,4,1,3,4,4,3,4,1,2,4,3,4,3,5,5,4,2,3,4,5,4,3,2.25,4.75,6,6,3.5,3.5,4.75,4.75,4.75,1,3.5,4.75,4.75,3.5,4.75,1,2.25,4.75,3.5,4.75,3.5,6,6,4.75,2.25,3.5,4.75,6,4.75,3.5,141.25,2,2,2,2,3,2,65,2,40,21,2,,1,1,,1,1,121,89051,A
476,50,50,55,60,55,45,2,1,2,1,2,65,30,100,100,100,35,75,1,2,4,5,5,2,5,5,5,2,1,2,5,5,5,1,4,5,1,5,2,5,5,5,1,1,5,5,5,5,1,2.25,4.75,6,6,2.25,6,6,6,2.25,1,2.25,6,6,6,1,4.75,6,1,6,2.25,6,6,6,1,1,6,6,6,6,158.75,3,2,3,1,4,3,65,4,30,21,2,,1,1,,1,3,133,44311,A
3262,50,60,75,80,65,40,2,1,2,2,2,55,15,65,5,75,35,20,2,4,4,4,5,3,3,4,4,2,1,3,3,5,4,2,2,3,2,4,4,4,4,4,3,2,4,3,3,4,2.25,4.75,4.75,4.75,6,3.5,3.5,4.75,4.75,2.25,1,3.5,3.5,6,4.75,2.25,2.25,3.5,2.25,4.75,4.75,4.75,4.75,4.75,3.5,2.25,4.75,3.5,3.5,4.75,136.25,3,2,2,2,4,2,40,3,35,20,2,,1,1,,1,1,118,54282,A
411,90,90,90,90,85,80,1,1,2,1,2,80,15,60,10,85,85,80,2,4,4,4,4,4,4,4,4,3,4,4,5,4,4,3,2,5,4,4,5,4,4,4,4,2,4,4,3,4,2.25,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,3.5,4.75,4.75,6,4.75,4.75,3.5,2.25,6,4.75,4.75,6,4.75,4.75,4.75,4.75,2.25,4.75,4.75,3.5,4.75,135,2,1,2,2,4,2,40,4,80,22,1,,1,1,,1,3,134,49134,A
287,25,25,30,30,70,50,2,1,2,1,2,75,35,70,40,30,30,30,3,4,4,4,1,4,3,4,4,2,4,4,4,1,4,3,4,4,2,4,4,3,3,4,2,4,4,3,4,1,3.5,4.75,4.75,4.75,1,4.75,3.5,4.75,4.75,2.25,4.75,4.75,4.75,1,4.75,3.5,4.75,4.75,2.25,4.75,4.75,3.5,3.5,4.75,2.25,4.75,4.75,3.5,4.75,1,116.25,2,2,2,2,2,2,40,3,40,21,1,,1,1,,1,3,116,60650,B
418,50,90,60,50,55,65,3,1,2,1,2,40,75,75,100,60,60,100,4,5,4,4,4,5,5,3,4,2,2,5,3,4,4,2,1,4,2,4,5,4,3,4,2,2,4,4,4,4,4.75,6,4.75,4.75,4.75,6,6,3.5,4.75,2.25,2.25,6,3.5,4.75,4.75,2.25,1,4.75,2.25,4.75,6,4.75,3.5,4.75,2.25,2.25,4.75,4.75,4.75,4.75,143.75,2,2,2,1,4,2,55,2,60,20,2,,1,1,,1,1,124,91193,B
551,50,50,50,45,45,50,2,1,2,1,2,60,90,65,85,50,30,30,4,4,4,5,5,4,4,5,4,2,2,3,4,5,5,4,2,3,3,2,4,3,5,4,3,4,4,5,5,5,4.75,4.75,4.75,6,6,4.75,4.75,6,4.75,2.25,2.25,3.5,4.75,6,6,4.75,2.25,3.5,3.5,2.25,4.75,3.5,6,4.75,3.5,4.75,4.75,6,6,6,137.5,2,1,2,1,4,1,60,3,45,21,2,,1,1,,1,2,134,80079,B
590,50,80,20,10,80,75,3,1,2,1,2,80,10,85,10,70,60,50,2,5,4,5,5,5,5,4,4,1,1,4,4,5,5,1,1,4,3,1,5,2,4,4,1,2,4,4,2,5,2.25,6,4.75,6,6,6,6,4.75,4.75,1,1,4.75,4.75,6,6,1,1,4.75,3.5,1,6,2.25,4.75,4.75,1,2.25,4.75,4.75,2.25,6,150,2,2,1,1,2,2,70,4,70,21,1,,1,1,,1,3,119,17730,B
307,50,60,40,30,55,65,2,1,2,1,2,60,20,65,15,35,30,35,4,4,4,5,5,5,4,4,4,2,1,4,3,4,5,4,1,3,4,1,4,4,3,2,2,1,4,4,4,3,4.75,4.75,4.75,6,6,6,4.75,4.75,4.75,2.25,1,4.75,3.5,4.75,6,4.75,1,3.5,4.75,1,4.75,4.75,3.5,2.25,2.25,1,4.75,4.75,4.75,3.5,132.5,3,2,3,2,2,2,70,4,55,21,1,,1,1,,1,3,122,24797,B
436,75,55,35,30,75,75,3,2,2,1,1,50,75,40,80,65,60,65,2,4,4,4,4,4,4,5,2,2,2,4,2,4,5,4,2,4,2,4,4,4,5,4,4,4,4,5,5,3,2.25,4.75,4.75,4.75,4.75,4.75,4.75,6,2.25,2.25,2.25,4.75,2.25,4.75,6,4.75,2.25,4.75,2.25,4.75,4.75,4.75,6,4.75,4.75,4.75,4.75,6,6,3.5,135,2,1,2,1,4,2,35,3,75,21,2,,1,1,,1,3,130,60243,B
1537,50,60,50,40,50,60,3,1,2,1,2,65,55,65,25,70,40,80,1,4,5,5,5,4,4,5,5,3,2,3,1,5,5,2,3,4,4,5,3,5,4,4,3,1,5,3,4,4,1,4.75,6,6,6,4.75,4.75,6,6,3.5,2.25,3.5,1,6,6,2.25,3.5,4.75,4.75,6,3.5,6,4.75,4.75,3.5,1,6,3.5,4.75,4.75,143.75,3,2,2,1,4,1,75,2,65,21,1,,1,1,,1,3,129,57195,B
812,50,50,40,30,30,30,3,1,2,1,2,25,25,25,25,50,50,30,3,5,5,5,4,5,4,5,4,2,2,5,3,4,5,2,2,4,3,4,5,3,5,4,2,2,4,4,1,3,3.5,6,6,6,4.75,6,4.75,6,4.75,2.25,2.25,6,3.5,4.75,6,2.25,2.25,4.75,3.5,4.75,6,3.5,6,4.75,2.25,2.25,4.75,4.75,1,3.5,143.75,3,2,3,1,4,3,50,2,30,23,1,,1,1,,1,1,128,46199,B
227,60,55,60,55,55,50,1,1,2,1,1,45,75,50,30,45,80,60,4,4,3,4,5,5,3,5,3,4,4,4,4,4,4,4,2,4,4,3,4,4,3,4,4,4,4,4,4,4,4.75,4.75,3.5,4.75,6,6,3.5,6,3.5,4.75,4.75,4.75,4.75,4.75,4.75,4.75,2.25,4.75,4.75,3.5,4.75,4.75,3.5,4.75,4.75,4.75,4.75,4.75,4.75,4.75,122.5,3,2,2,2,3,2,25,4,45,22,1,,1,1,,1,3,136,38854,B
524,50,55,40,40,60,60,3,1,2,1,2,80,70,60,85,40,40,65,4,5,4,5,3,5,2,4,5,3,2,4,2,4,5,4,2,4,2,4,5,5,4,3,4,4,4,2,5,3,4.75,6,4.75,6,3.5,6,2.25,4.75,6,3.5,2.25,4.75,2.25,4.75,6,4.75,2.25,4.75,2.25,4.75,6,6,4.75,3.5,4.75,4.75,4.75,2.25,6,3.5,130,3,2,3,1,2,3,55,2,50,22,1,,1,1,,1,1,129,72353,B
428,25,25,20,20,20,25,2,1,2,1,2,50,15,50,0,80,35,55,4,4,4,2,4,4,3,3,3,4,4,4,4,5,2,4,2,4,4,4,4,4,4,4,4,1,4,4,2,4,4.75,4.75,4.75,2.25,4.75,4.75,3.5,3.5,3.5,4.75,4.75,4.75,4.75,6,2.25,4.75,2.25,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,1,4.75,4.75,2.25,4.75,118.75,2,2,4,1,2,2,50,3,35,22,1,,1,1,,1,1,124,50973,B
449,75,70,50,40,70,70,3,1,2,1,2,85,10,75,20,20,20,25,2,4,4,4,4,5,3,4,4,2,2,4,2,3,4,4,2,4,3,3,4,3,3,3,2,3,4,3,4,3,2.25,4.75,4.75,4.75,4.75,6,3.5,4.75,4.75,2.25,2.25,4.75,2.25,3.5,4.75,4.75,2.25,4.75,3.5,3.5,4.75,3.5,3.5,3.5,2.25,3.5,4.75,3.5,4.75,3.5,126.25,2,2,2,2,2,1,60,2,55,22,2,,1,1,,1,3,115,64180,B
679,50,55,40,20,35,45,2,1,2,1,2,60,60,50,90,80,40,35,2,4,4,5,4,4,4,4,3,3,2,4,3,4,4,3,2,4,3,2,4,4,4,4,2,2,4,3,4,4,2.25,4.75,4.75,6,4.75,4.75,4.75,4.75,3.5,3.5,2.25,4.75,3.5,4.75,4.75,3.5,2.25,4.75,3.5,2.25,4.75,4.75,4.75,4.75,2.25,2.25,4.75,3.5,4.75,4.75,133.75,3,1,3,1,4,2,70,4,40,22,1,,1,1,,1,3,125,60993,B
1249,50,55,45,35,40,40,2,1,2,1,2,60,40,80,80,85,40,50,2,4,4,4,5,4,3,4,2,3,2,4,2,4,4,3,2,3,4,2,4,4,3,3,4,1,4,3,3,4,2.25,4.75,4.75,4.75,6,4.75,3.5,4.75,2.25,3.5,2.25,4.75,2.25,4.75,4.75,3.5,2.25,3.5,4.75,2.25,4.75,4.75,3.5,3.5,4.75,1,4.75,3.5,3.5,4.75,122.5,3,1,3,1,2,2,50,4,45,21,2,,1,1,,1,3,119,10202,B
402,50,80,50,0,15,15,2,1,2,1,2,80,10,100,0,90,10,40,2,5,4,5,4,5,2,5,3,1,2,4,2,4,5,1,1,5,1,2,5,3,5,3,2,3,3,5,5,3,2.25,6,4.75,6,4.75,6,2.25,6,3.5,1,2.25,4.75,2.25,4.75,6,1,1,6,1,2.25,6,3.5,6,3.5,2.25,3.5,3.5,6,6,3.5,145,1,2,2,1,1,2,55,4,25,22,1,,1,1,,1,2,115,27521,B
870,60,70,55,50,55,65,2,1,2,1,2,75,40,60,80,65,40,30,4,4,4,2,2,4,2,5,4,4,2,4,2,3,4,4,1,2,4,2,4,2,4,2,4,2,4,2,3,4,4.75,4.75,4.75,2.25,2.25,4.75,2.25,6,4.75,4.75,2.25,4.75,2.25,3.5,4.75,4.75,1,2.25,4.75,2.25,4.75,2.25,4.75,2.25,4.75,2.25,4.75,2.25,3.5,4.75,107.5,2,2,2,2,2,3,40,4,70,21,2,,1,1,,1,1,112,61817,B
838,50,60,45,40,45,50,2,1,2,1,2,40,60,40,75,70,50,60,2,4,5,4,5,5,4,4,4,2,1,4,3,4,4,2,2,4,3,4,4,5,4,4,2,2,4,3,4,4,2.25,4.75,6,4.75,6,6,4.75,4.75,4.75,2.25,1,4.75,3.5,4.75,4.75,2.25,2.25,4.75,3.5,4.75,4.75,6,4.75,4.75,2.25,2.25,4.75,3.5,4.75,4.75,145,3,2,2,1,2,2,60,4,65,21,2,,1,1,,1,1,124,32237,B
490,25,NA,20,15,25,35,2,1,2,1,2,65,20,75,20,40,20,25,4,5,4,4,2,4,3,4,4,2,4,3,5,2,4,3,3,5,3,4,4,3,3,4,3,2,4,3,4,2,4.75,6,4.75,4.75,2.25,4.75,3.5,4.75,4.75,2.25,4.75,3.5,6,2.25,4.75,3.5,3.5,6,3.5,4.75,4.75,3.5,3.5,4.75,3.5,2.25,4.75,3.5,4.75,2.25,122.5,2,2,2,2,3,2,30,2,35,21,1,,1,1,,1,3,121,70342,C
632,20,NA,15,15,15,20,2,1,2,1,2,80,10,85,5,70,45,5,2,5,5,5,5,4,3,5,4,2,2,4,3,4,5,4,2,4,3,2,4,4,5,4,3,2,4,5,5,4,2.25,6,6,6,6,4.75,3.5,6,4.75,2.25,2.25,4.75,3.5,4.75,6,4.75,2.25,4.75,3.5,2.25,4.75,4.75,6,4.75,3.5,2.25,4.75,6,6,4.75,143.75,1,1,1,1,3,2,40,3,15,29,4,,2,1,,1,1,131,58053,C
1171,50,NA,50,50,50,50,3,1,2,2,2,70,20,30,0,50,50,65,2,2,5,5,5,4,3,4,4,2,1,1,3,4,4,2,3,4,3,5,3,5,4,3,1,1,5,3,3,4,2.25,2.25,6,6,6,4.75,3.5,4.75,4.75,2.25,1,1,3.5,4.75,4.75,2.25,3.5,4.75,3.5,6,3.5,6,4.75,3.5,1,1,6,3.5,3.5,4.75,137.5,3,2,3,2,2,2,40,4,50,22,1,,1,1,,1,3,118,60170,C
360,50,NA,45,40,45,50,2,1,2,1,2,65,30,65,25,70,25,20,2,2,2,3,3,3,3,2,1,3,2,1,3,2,3,2,2,2,3,3,4,3,3,3,2,2,3,3,3,3,2.25,2.25,2.25,3.5,3.5,3.5,3.5,2.25,1,3.5,2.25,1,3.5,2.25,3.5,2.25,2.25,2.25,3.5,3.5,4.75,3.5,3.5,3.5,2.25,2.25,3.5,3.5,3.5,3.5,102.5,1,2,1,2,1,1,0,4,50,34,1,,1,1,,6,3,90,71700,C
867,50,NA,40,35,35,35,2,1,2,1,2,60,80,40,80,,45,,2,4,4,5,4,3,3,5,4,3,2,4,3,4,5,2,2,4,3,4,4,4,4,4,3,2,4,3,4,4,2.25,4.75,4.75,6,4.75,3.5,3.5,6,4.75,3.5,2.25,4.75,3.5,4.75,6,2.25,2.25,4.75,3.5,4.75,4.75,4.75,4.75,4.75,3.5,2.25,4.75,3.5,4.75,4.75,137.5,3,2,3,1,4,2,35,2,35,21,2,,1,1,,1,3,127,15593,C
351,75,NA,50,25,70,90,3,1,2,1,2,70,40,60,45,60,55,65,2,4,5,4,3,4,4,2,4,2,2,4,2,4,4,2,2,3,2,4,4,4,4,4,3,4,3,4,4,3,2.25,4.75,6,4.75,3.5,4.75,4.75,2.25,4.75,2.25,2.25,4.75,2.25,4.75,4.75,2.25,2.25,3.5,2.25,4.75,4.75,4.75,4.75,4.75,3.5,4.75,3.5,4.75,4.75,3.5,130,3,2,3,1,4,2,40,2,60,22,2,,1,1,,1,3,121,22534,C
592,50,NA,25,45,75,75,3,1,2,1,2,90,45,90,45,80,65,30,4,4,5,3,2,4,4,4,4,2,3,4,3,2,3,3,3,4,2,4,4,4,3,3,1,3,4,4,3,3,4.75,4.75,6,3.5,2.25,4.75,4.75,4.75,4.75,2.25,3.5,4.75,3.5,2.25,3.5,3.5,3.5,4.75,2.25,4.75,4.75,4.75,3.5,3.5,1,3.5,4.75,4.75,3.5,3.5,123.75,2,1,3,1,4,1,45,2,65,22,1,,1,1,,1,3,117,19681,C
